Jurisdiction,Priority Alignment Shortcode,Priority Alignment,Priority Alignment Description,Shared Priorities,Policy Identifier,Policy Description,Elements,Strategy List,Commonalities (Non-Specific),Commonalities (Specific),General Terms of Commonalities (Specific),Jurisdiction Total (Verticle),Policy Total
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 2.3,"Identify, implement, and maintain a system of truck routes within the City that minimizing negative impacts on local roads and sensitive land uses including residents, schools, parks, recreation facilities and other similar land uses.","E, G, J","Truck Route Optimization, Transit-Oriented Connection, Safe Routes Creation",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 3.1,"Improve health outcomes by creating a safe and convenient circulation system for pedestrians that focuses on crosswalks, improves the connections between neighborhoods and commercial areas, provides places to sit or gather, pedestrian-scaled street lighting, buffers from moving vehicle traffic, and includes amenities that attract people of all ages and abilities.","J, M","Safe Routes Creation, Multi-Modal Transportation Hub Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 3.8,Design dense nodes of commercial and retail businesses with reduced off-street parking that is accessible to public parking locations so people can park once for many errands/trips. ,"J, F","Safe Routes Creation, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 5.4,Encourage new large residential or commercial developments to locate on existing and planned transit routes.,"J, F","Safe Routes Creation, Active Transportation Development",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Policy 5.6,"Periodically participate with Sun Line Transit efforts to identify commuter travel behavior with the intent of creating vanpools, carpools, and employment center shuttles to reduce single occupant vehicles.","L, K, G","Environmental Quality Assessment & Green Development, Public Transit Expansion, Transit-Oriented Connection",Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Goal 8,"A transportation system that provides an appropriate level of regional connectivity for residents and businesses through vehicular, freight, transit and non-motorized connections.",M,Multi-Modal Transportation Hub Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,CIR Introduction,"City should seek to overcome the many northwest-to-southeast barriers that exist – SR111, the Union Pacific Railway, SR86S and even the Coachella Canal. New east-west and north-south roadways and grade-separated crossings may help achieve the existing barriers. ",J,Safe Routes Creation,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,IN+PS 1.3,Cost-efficient services. Continue to provide sustainable utility services and infrastructure in a cost-efficient manner. ,N,Cost-Efficient Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,SNE 2.11,Publicly funded buildings. Require energy conservation as the primary strategy to reduce energy demand in new and renovation projects using public funds. ,L,Environmental Quality Assessment & Green Development,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
Coachella,Infrastructure,Tackling Infrastructure Gaps,"The research showed, and community stakeholders said, that filling infrastructure gaps were crucial to community health and economic development.",Infrastructure Required for Economic Development,SNE 11.6,Neighborhood electric vehicles. Encourage developments and street systems that support the use of Neighborhood Electric Vehicles (NEV). ,H,Neighborhood Electric Vehicle (NEV) Infrastructure and VMT Reduction,Sustainable and Multi-Modal Transportation / Efficient Land Use and Infrastructure,Truck Route Optimization,Planning better paths for trucks to avoid busy areas and save time,5/7,9
